名前,タイプ1,タイプ2
フシギダネ,くさ,どく
フシギソウ,くさ,どく
フシギバナ,くさ,どく
ヒトカゲ,ほのお,
リザード,ほのお,
リザードン,ほのお,ひこう
ゼニガメ,みず,
カメール,みず,
カメックス,みず,
キャタピー,むし,
トランセル,むし,
バタフリー,むし,ひこう
ビードル,むし,どく
コクーン,むし,どく
スピアー,むし,どく
ポッポ,ノーマル,ひこう
ピジョン,ノーマル,ひこう
ピジョット,ノーマル,ひこう
コラッタ,ノーマル,
コラッタ(アローラのすがた),あく,ノーマル
ラッタ,ノーマル,
ラッタ(アローラのすがた),あく,ノーマル
オニスズメ,ノーマル,ひこう
オニドリル,ノーマル,ひこう
アーボ,どく,
アーボック,どく,
ピカチュウ,でんき,
ライチュウ,でんき,
ライチュウ(アローラのすがた),でんき,エスパー
サンド,じめん,
サンド(アローラのすがた),こおり,はがね
サンドパン,じめん,
サンドパン(アローラのすがた),こおり,はがね
ニドラン♀,どく,
ニドリーナ,どく,
ニドクイン,どく,じめん
ニドラン♂,どく,
ニドリーノ,どく,
ニドキング,どく,じめん
ピッピ,フェアリー,
ピクシー,フェアリー,
ロコン,ほのお,
ロコン(アローラのすがた),こおり,
キュウコン,ほのお,
キュウコン(アローラのすがた),こおり,フェアリー
プリン,ノーマル,フェアリー
プクリン,ノーマル,フェアリー
ズバット,どく,ひこう
ゴルバット,どく,ひこう
ナゾノクサ,くさ,どく
クサイハナ,くさ,どく
ラフレシア,くさ,どく
パラス,むし,くさ
パラセクト,むし,くさ
コンパン,むし,どく
モルフォン,むし,どく
ディグダ,じめん,
ディグダ(アローラのすがた),じめん,はがね
ダグトリオ,じめん,
ダグトリオ(アローラのすがた),じめん,はがね
ニャース,ノーマル,
ニャース(アローラのすがた),あく,
ニャース(ガラルのすがた),はがね,
ペルシアン,ノーマル,
ペルシアン(アローラのすがた),あく,
コダック,みず,
ゴルダック,みず,
マンキー,かくとう,
オコリザル,かくとう,
ガーディ,ほのお,
ガーディ(ヒスイのすがた),ほのお,いわ
ウインディ,ほのお,
ニョロモ,みず,
ニョロゾ,みず,
ニョロボン,みず,かくとう
ケーシィ,エスパー,
ユンゲラー,エスパー,
フーディン,エスパー,
ワンリキー,かくとう,
ゴーリキー,かくとう,
カイリキー,かくとう,
マダツボミ,くさ,どく
ウツドン,くさ,どく
ウツボット,くさ,どく
メノクラゲ,みず,どく
ドククラゲ,みず,どく
イシツブテ,いわ,じめん
イシツブテ(アローラのすがた),いわ,でんき
ゴローン,いわ,じめん
ゴローン(アローラのすがた),いわ,でんき
ゴローニャ,いわ,じめん
ゴローニャ(アローラのすがた),いわ,でんき
ポニータ,ほのお,
ポニータ (ガラルのすがた),エスパー,
ギャロップ,ほのお,
ギャロップ(ガラルのすがた),エスパー,フェアリー
ヤドン,みず,エスパー
ヤドン(ガラルのすがた),エスパー,
ヤドラン,みず,エスパー
ヤドラン(ガラルのすがた),どく,エスパー
コイル,でんき,はがね
レアコイル,でんき,はがね
カモネギ,ノーマル,ひこう
カモネギ(ガラルのすがた),かくとう,
ドードー,ノーマル,ひこう
ドードリオ,ノーマル,ひこう
パウワウ,みず,
ジュゴン,みず,こおり
ベトベター,どく,
ベトベター(アローラのすがた),どく,あく
ベトベトン,どく,
ベトベトン(アローラのすがた),どく,あく
シェルダー,みず,
パルシェン,みず,こおり
ゴース,ゴースト,どく
ゴースト,ゴースト,どく
ゲンガー,ゴースト,どく
イワーク,いわ,じめん
スリープ,エスパー,
スリーパー,エスパー,
クラブ,みず,
キングラー,みず,
ビリリダマ,でんき,
ビリリダマ(ヒスイのすがた),でんき,くさ
マルマイン,でんき,
タマタマ,くさ,エスパー
ナッシー,くさ,エスパー
ナッシー(アローラのすがた),くさ,ドラゴン
カラカラ,じめん,
ガラガラ,じめん,
